Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
41910,Global,Product Form Description,productForm,tradeItemDescriptionModule/tradeItemDescriptionInformation/tradeItemFormDescription,3519,S1PRDFRM,,tradeItemFormDescription,O,"The physical form or shape of the product.

Used to inform the buyer and/or consumer about the shape or form of the product.",string,,1,500,Global,0..Many,Language,StandardLanguageCodes,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Product Form. 
UOM is optional for this attribute",Multiple,2/21/2023,"2/21/2023- Updated for IM 8.37- Changed from Named to Flex in IM. Change is to only remove from 1WS XML Schema
9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Product Form.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
41930,Global,Product Type,productType,CatalogueItemNotification/CatalogueItem/tradeItem/tradeItemUnitDescriptorCode,66,S1PRDTYP,,tradeItemUnitDescriptorCode,M,"Choose the Product Type that best describes the hierarchy level of your item. 

Used to communicate how the product hierarchy is constructed. A common three-tier hierarchy (from largest to smallest) is Pallet, Case, Each.",VV/ProductTypeCodes,,1,80,Global,0..1,,,Y,N,,,,,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
41950,Global,Composition Depth,tradeItemCompositionDepth,tradeItemMeasurementsModule/tradeItemMeasurements/tradeItemCompositionDepth,3735,S1CMPDEP,S1CMPDUM,tradeItemCompositionDepth,O,"The number of child-items that are packaged from front to back in a trade unit. This information is used in the space process, especially when allocating whole Trade Units (intermediate) into the shelf.",ufloat,15,15,30,Global,0..1,UOM,unitCompositionUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
3/5/2020 : Errata : Added the Qualifier Type which was missing."
41970,Global,Composition Width,tradeItemCompositionWidth,tradeItemMeasurementsModule/tradeItemMeasurements/tradeItemCompositionWidth,3737,S1CMPWDH,S1CMPUOM,tradeItemCompositionWidth,O,"The number of child-items that are packaged beside each other in a trade unit (on the side facing the consumer). This information is used in the space process, especially when allocating whole Trade Units (intermediate) into the shelf. The Space Manager always allocates Base Units in the shelf. Usually there are no pictures of Trade Units available and for Hypermarkets/Big Supermarkets there is a need to allocate whole trade units into the shelves.",ufloat,15,15,30,Global,0..1,UOM,unitCompositionUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
3/5/2020 : Errata : Added the Qualifier Type which was missing."
41990,Processing,Genetically Modified Organism,gs1FinlandGeneticallyModifiedOrganism,N/A,N/A,N/A,,N/A,O,Description of the genetically modified organism which causes the product to be classified as being or containing a GMO.,text,,1,80,Target Market,0..Many,Language,StandardLanguageCodes,,,,,,25,9/8/2023,"9/8/2023- Corrected IM GUI Item Attribute Set
7/28/2023- Added attribute for GDSN v3.1.24 (IM 8.40) for GS1 Finland Global Data Model (GDM) Local Layer."
42010,Handling and Storage,Clamp Pressure,clampPressure,tradeItemHandlingModule/tradeitemHandlingInformation/clampPressure,3583,S3CLAPRES,S3CLAPUOM,clampPressure,O,The pressure that should be applied by a clamp to the packaging around the product. The clamp pressure is the only pressure value to be applied and there are no minimum or maximum values.,ufloat,38,15,53,Target Market,0..1,UOM,PressureUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42030,Handling and Storage,Has Auto Reader Tracker?,doesTradeItemHaveAutoReaderTracker,tradeItemLifespanModule/tradeItemLifespan/doesTradeItemHaveAutoReaderTracker,3702,S3DIHARTK,,doesTradeItemHaveAutoReaderTracker,O,Indication that the trade item has a device that identifies that the product has a limited number of reuses and is self tracked.,VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42050,Handling and Storage,Flooring Material,flooringMaterial,N/A,N/A,N/A,,N/A,O,"Terms to denote the material from which the item's floor is made, where the item has a floor. For example, if a storage shed has a floor made out of plywood.",string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
42070,Handling and Storage,Handling Instruction,handlingInstruction,tradeItem/extension/os:NLTradeItemInformation//handlingInstruction,N/A,S3HANDIN,,N/A,O,Handling Instructions,VV/DASHandlingInstruction,,1,60,Target Market,0..Many,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of DASHandlingInstruction,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42090,Handling and Storage,Product Handling Code,handlingInstructions/handlingInstructionCode,tradeItemHandlingModule/tradeitemHandlingInformation/handlingInstructionsCodeReference,3587,S1HLDINS,,handlingInstructionsCodeReferenceValue,O,"Valid value for the information and processes needed to safely handle the product.

Used to inform the transporter, buyer and consumer of proper handling of the product.",VV/HandlingInstructionCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of HandlingInstructionCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Handling Instruction Code. 
Becomes required when handlingInstructions/handlingInstructionCodeAgency is populated",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Handling Instruction Code.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42110,Handling and Storage,Handling Instructions Code Agency,handlingInstructions/handlingInstructionCodeAgency,tradeItemHandlingModule/tradeitemHandlingInformation/handlingInstructionsCodeReferenceAgency,3591,S1HLDICD,,codeListAgencyName,O,An agency that maintains the handling instructions code. NOTE: This attribute is intended to be used with the handling instructions code.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42130,Handling and Storage,Handling Instructions Description,handlingInstructionsDescription,tradeItemHandlingModule/tradeitemHandlingInformation/handlingInstructionsDescription,3585,S1HLDIDS,,handlingInstructionsDescription,O,Information and processes needed to safely handle the trade item. Intended to be sent when handling Instructions Code and agency have not been provided.,string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42150,Handling and Storage,Is Fragile,isFragile,N/A,N/A,N/A,,N/A,O,Indicator to denote the product is fragile and should be handed with care.,VV/booleanVV,,1,60,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
42170,Handling and Storage,Is Temperature Sensitive?,isTemperatureSensitive,N/A,N/A,S4GEG0007,,N/A,O,Indicates that the item is prone to freezing or melting that may adversely affect it.,VV/booleanVV,,1,60,,0..1,,,,,,,,,7/28/2023,"7/28/2023- Updated DSD information
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
42190,Handling and Storage,Usage Period After Opening,itemPeriodSafeToUseAfterOpening,extension/tradeItemLifespanModule/tradeItemLifespan/avpList/itemPeriodSafeToUseAfterOpening,3709,S3IPSTUAO,S3IPSTUOM,itemPeriodSafeToUseAfterOpening,O,"The period after opening where the product is still safe to be used by the consumer.

Used by the seller to communicate to the buyer and consumer the useful lifetime of a product after a package has been opened for the first time.",ufloat,38,15,53,Target Market,0..Many,UOM,TimeUOM,Y,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Item Period Safe to Use After Opening. 
",Single,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Item Period Safe to Use After Opening.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42210,Handling and Storage,Minimum Trade Item Days In Warehouse,minimumTradeItemDaysInWarehouse,N/A,N/A,S1MTIDIW,,N/A,O,Number of days the product can stay warehoused.,uinteger,,1,10,Target Market,0..1,,,N,Y,"Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.
Please note: Attributes that are not sent on 1WorldSync’s core GDSN CIN message are marked as “N/A”, but in some cases may be sent via an extension.","10
99",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
03/14/2017 - Added Notes in Additional comments."
42230,Handling and Storage,Minimum Days of Shelf Life at Arrival,minimumTradeItemLifespanFromArrival,tradeItemLifespanModule/tradeItemLifespan/minimumTradeItemLifespanFromTimeOfArrival,3703,S1TRDLIFE,,minimumTradeItemLifespanFromTimeOfArrival,O,"The seller's determination of the minimum number of calendar days of shelf life of the product, based upon the expiration date on the product, upon receipt by the buyer. Minimum Days of Shelf Life at Arrival may differ by recipient. If the same for all recipients, select ""ALL"" as the Recipient.

Used by the buyer for quality and inventory control workflows/business processes.",uinteger,,1,10,Target Market,0..1,,,N,Y,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99","Previous IM GUI / Load Sheet (FUSE) Name was Min Product Lifespan from Arrival (Days). 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Min Product Lifespan from Arrival (Days).
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42250,Handling and Storage,Minimum Days of Shelf Life from Production,minimumTradeItemLifespanFromProduction,tradeItemLifespanModule/tradeItemLifespan/minimumTradeItemLifespanFromTimeOfProduction,3704,S1MTRDSPN,,minimumTradeItemLifespanFromTimeOfProduction,O,"The seller's determination of the minimum number of calendar days from the production date to the expiration date. Minimum Days of Shelf Life from Production may differ by recipient. If the same for all recipients, select ""ALL"" as the Recipient.

Used by the buyer for quality and inventory control workflows/business processes.",uinteger,,1,10,Target Market,0..1,,,N,Y,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99","Previous IM GUI / Load Sheet (FUSE) Name was Min Product Lifespan from Production (Days). 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Min Product Lifespan from Production (Days).
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42270,Handling and Storage,Must Trade Item Be Chilled,mustTradeItemBeChilled,catalogueItemNotification/catalogueItem/tradeItem/avpList/mustTradeItemBeChilled,N/A,S3MTITBCH,,mustTradeItemBeChilled,O,Indicator of a compulsory refrigeration for the product.,VV/booleanVV,,,,Target Market,0..1,,,N,N,,"true
false",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42290,Handling and Storage,Opened Trade Item Lifespan (Days),openedTradeItemLifespan,tradeItemLifespanModule/tradeItemLifespan/openedTradeItemLifespan,3705,S1OTITLF,,openedTradeItemLifespan,O,"The number of days that a trade item can remain on the shelf after it has been opened, before it must then be removed. The number of days is counted from the date of manufacture. The number of days determined in the ""must sell by date"" is applicable to the each level. When the master item is received it has an ultimate shelf life number of days on it. For example, the ultimate number of days for a ham is 180. The manufacturer advises the retailer that once it's open the item is good for 7 days. That 7 days is used to create the label for the consumer. When the consumer buys some of the ham, the label will have the best before date which is based on the 7 days.",uinteger,,1,6,Target Market,0..1,,,N,N,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update IM GUI Name
"
42310,Handling and Storage,Special Handling Code - Transportation,specialHandlingCodeTransportation,N/A,N/A,S1SPLHCT,,N/A,O,Specifies special transportation handling instructions.,VV/HandlingInstructionCode,,1,4,Target Market,0..1,,,N,N,"For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of HandlingInstructionCode.
Please note: Attributes that are not sent on 1WorldSync’s core GDSN CIN message are marked as “N/A”, but in some cases may be sent via an extension.",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
03/14/2017 - Added Notes in Additional comments.
04/04/2018 - Updated max length to 4"
42330,Handling and Storage,Supplier Specified Minimum Consumer Storage Days,supplierSpecifiedMinimumConsumerStorageDays,tradeItemLifespanModule/tradeItemLifespan/supplierSpecifiedMinimumConsumerStorageDays,3706,S3SSMCSD,,supplierSpecifiedMinimumConsumerStorageDays,O,"The product life in number of days, which the manufacturer recommends the retailer gives the consumer before the use by date. Difference in days between product's ""sell by date"" and it's ""use by date.""",uinteger,,1,10,Target Market,0..1,,,N,N,Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.,"10
99",,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42350,Handling and Storage,Minimum Temperature Setting,temperatureSettings/minimumTemperatureSetting,N/A,N/A,N/A,,N/A,O,Measurement to denote the lower temperature limit or capability of an item such as a thermometer or chillers.,float,15,15,30,,0..1,UOM,TemperatureUOM,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
42370,Handling and Storage,Cumulative Humidity Interruption Acceptable Time Span,tradeItemHumidityInformation/cumulativeHumidityInterruptionAcceptableTimeSpan,tradeItemHumidityInformationModule/tradeItemHumidityInformation/cumulativeHumidityInterruptionAcceptableTimeSpan,3634,S3CHIATSP,S3CHIATSU,cumulativeHumidityInterruptionAcceptableTimeSpan,O,An expression of the maximum allowed cumulative time span of one or more humidity interruptions of a trade item as defined by the manufacturer.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42390,Handling and Storage,Cumulative Humidity Interruption Acceptable Time Span Instructions,tradeItemHumidityInformation/cumulativeHumidityInterruptionAcceptableTimeSpanInstructions,tradeItemHumidityInformationModule/tradeItemHumidityInformation/cumulativeHumidityInterruptionAcceptableTimeSpanInstructions,3636,S3CHIATSI,,cumulativeHumidityInterruptionAcceptableTimeSpanInstructions,O,"Instructions provided by the product manufacturer regarding the process, procedures, or handling instructions for trade items that has exceeded the cumulative time span of humidity interruptions.",string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42410,Handling and Storage,Drop below Min Humidity Acceptable Time Span,tradeItemHumidityInformation/dropBelowMinimumHumidityAcceptableTimeSpan,tradeItemHumidityInformationModule/tradeItemHumidityInformation/dropBelowMinimumHumidityAcceptableTimeSpan,3638,S3DBMHATS,S3DBMHATU,dropBelowMinimumHumidityAcceptableTimeSpan,O,The amount of time that a product can fall below the minimum humidity threshold as defined by the manufacturer without affecting product safety or quality.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42430,Handling and Storage,Humidity Qualifier Code,tradeItemHumidityInformation/humidityQualifierCode,tradeItemHumidityInformationModule/tradeItemHumidityInformation/humidityQualifierCode,3640,S3HQUALCD,,humidityQualifierCode,O,Code qualifying the type of a temperature for example STORAGE.,VV/TemperatureQualifierCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TemperatureQualifierCode,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42450,Handling and Storage,Max Humidity Acceptable Time Span,tradeItemHumidityInformation/maximumHumidityAcceptableTimeSpan,tradeItemHumidityInformationModule/tradeItemHumidityInformation/maximumHumidityAcceptableTimeSpan,3641,S3MXHATSP,S3MXHATSU,maximumHumidityAcceptableTimeSpan,O,The amount of time that a product can safely rise above the maximum humidity threshold as defined by the manufacturer without affecting product safety or quality.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42470,Handling and Storage,Maximum Humidity Percentage,tradeItemHumidityInformation/maximumHumidityPercentage,tradeItemHumidityInformationModule/tradeItemHumidityInformation/maximumHumidityPercentage,3643,S3MAXHUMP,,maximumHumidityPercentage,O,The maximum humidity in percentages that the goods should be stored in.,ufloat,38,15,53,Target Market,0..1,,,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42490,Handling and Storage,Minimum Humidity Percentage,tradeItemHumidityInformation/minimumHumidityPercentage,tradeItemHumidityInformationModule/tradeItemHumidityInformation/minimumHumidityPercentage,3644,S3MINHUMP,,minimumHumidityPercentage,O,The minimum humidity in percentages that the goods should be stored in.,ufloat,38,15,53,Target Market,0..1,,,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42510,Handling and Storage,Stacking Factor,tradeItemStacking/stackingFactor,tradeItemHandlingModule/tradeitemHandlingInformation/tradeitemStacking/stackingFactor,3604,S1STKFCT,,stackingFactor,O,"The maximum number of levels for a specific unit that can exist in a stack without impacting the quality of the product. A value of 1 means that the item cannot be stacked.

Used in conjunction with the Stacking Factor Type Code for storing or transporting the product without impacting the quality of the product.",uinteger,,1,10,Target Market,0..1,,,N,Y*,"Attributes with a datatype of uinteger(unsigned integer) can support only  positive numbers.  No +/- should be used with this attribute.

*This attribute is RDD within its group, tradeItemStacking. Attributes in group:
tradeItemStacking/stackingFactor
tradeItemStacking/stackingFactorTypeCode
tradeItemStacking/stackingPatternTypeCode
tradeItemStacking/stackingWeightMaximum","10
99",,,9/1/2022,"9/1/2022- Updated Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42530,Handling and Storage,Stacking Factor Type Code,tradeItemStacking/stackingFactorTypeCode,tradeItemHandlingModule/tradeitemHandlingInformation/tradeitemStacking/stackingFactorTypeCode,3607,S3SFTYCD,,stackingFactorTypeCode,O,"Valid value for the storage or type of transportation to which the Stacking Factor applies.

Used to communicate the Stacking Factor Type Code by supply chain process.",VV/StackingFactorTypeCode,,1,80,Target Market,0..1,,,N,Y*,"For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of StackingFactorTypeCode

*This attribute is RDD within its group, tradeItemStacking. Attributes in group:
tradeItemStacking/stackingFactor
tradeItemStacking/stackingFactorTypeCode
tradeItemStacking/stackingPatternTypeCode
tradeItemStacking/stackingWeightMaximum",,,,9/1/2022,"9/1/2022- Updated Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42550,Handling and Storage,Stacking Pattern Type Code,tradeItemStacking/stackingPatternTypeCode,tradeItemHandlingModule/tradeitemHandlingInformation/tradeitemStacking/stackingPatternTypeCode,5472,S3TISSPT,,stackingPatternTypeCode,O,"Indicates the pattern the product is stacked on a logistics unit, for example column pattern or interlocking pattern.",VV/StackingPatternTypeCode,,1,80,Target Market,0..1,,,N,Y*,"For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of StackingPatternTypeCode

*This attribute is RDD within its group, tradeItemStacking. Attributes in group:
tradeItemStacking/stackingFactor
tradeItemStacking/stackingFactorTypeCode
tradeItemStacking/stackingPatternTypeCode
tradeItemStacking/stackingWeightMaximum",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
11/30/2017 - Will be added with IM 8.4
8/24/2018 - Changed the attribute to RDD
9/15/2018 - Changed tradeItemStacking group to RDD"
42570,Handling and Storage,Stacking Weight Maximum,tradeItemStacking/stackingWeightMaximum,tradeItemHandlingModule/tradeitemHandlingInformation/tradeitemStacking/stackingWeightMaximum,3605,S1STKWMAX,S1STKWUOM,stackingWeightMaximum,O,The maximum admissible weight that can be stacked on the trade item.,ufloat,15,15,30,Target Market,0..1,UOM,MassUOM,N,Y*,"Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.

*This attribute is RDD within its group, tradeItemStacking. Attributes in group:
tradeItemStacking/stackingFactor
tradeItemStacking/stackingFactorTypeCode
tradeItemStacking/stackingPatternTypeCode
tradeItemStacking/stackingWeightMaximum",,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
9/15/2018 - Changed tradeItemStacking group to RDD"
42590,Handling and Storage,Product Temperature Condition Code,tradeItemTemperatureConditionTypeCode,tradeItemTemperatureInformationModule/tradeItemTemperatureConditionTypeCode,3804,S3TITCTC,,tradeItemTemperatureConditionTypeCode,O,"Valid value to identify the state of the product when purchased by the consumer.

Used to communicate to the consumer the condition of the product when purchased.",VV/TemperatureConditionTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TemperatureConditionTypeCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Temperature Condition Type Code. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Temperature Condition Type Code.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
42610,Handling and Storage,Cumulative Temperature Interruption Acceptable Time Span,tradeItemTemperatureInformation/cumulativeTemperatureInterruptionAcceptableTimeSpan,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/cumulativeTemperatureInterruptionAcceptableTimeSpan,3814,S3CTIATSP,S3CTIATSU,cumulativeTemperatureInterruptionAcceptableTimeSpan,O,An expression of the maximum allowed cumulative time span of one or more temperature interruptions of a trade item as defined by the manufacturer.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42630,Handling and Storage,Cumulative Temperature Interruption Acceptable Time Span Instructions,tradeItemTemperatureInformation/cumulativeTemperatureInterruptionAcceptableTimeSpanInstructions,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/cumulativeTemperatureInterruptionAcceptableTimeSpanInstructions,3816,S3CTIATSI,,cumulativeTemperatureInterruptionAcceptableTimeSpanInstructions,O,"Instructions provided by the product manufacturer regarding the process, procedures, or handling instructions for trade items that has exceeded the cumulative time span of temperature interruptions.",string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42650,Handling and Storage,Drop below Min Temp Acceptable Time Span,tradeItemTemperatureInformation/dropBelowMinimumTemperatureAcceptableTimeSpan,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/dropBelowMinimumTemperatureAcceptableTimeSpan,3818,S3DBMTHAT,S3DBMTHAU,dropBelowMinimumTemperatureAcceptableTimeSpan,O,The amount of time that a product can drop below the minimum temperature threshold during storage as defined by the manufacturer without affecting product safety or quality.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
